865000 1000 7.06e-15 4,67
870000 1000 6.84e-15 4,63
875000 1000 6.64e-15 4,58
880000 1000 6.44e-15 4,54
885000 1000 6.26e-15 4,51
890000 1000 6.08e-15 4,47
895000 1000 5.92e-15 4,44
900000 1000 5.76e-15 4,41
905000 1000 5.60e-15 4,37
910000 1000 5.45e-15 4,33
915000 1000 5.30e-15 4,3
920000 1000 5.16e-15 4,27
925000 1000 5.03e-15 4,24
930000 1000 4.90e-15 4,21
935000 1000 4.77e-15 4,18
940000 1000 4.66e-15 4,15
945000 1000 4.54e-15 4,13
950000 1000 4.44e-15 4,11
955000 1000 4.33e-15 4,08
960000 1000 4.23e-15 4,06
965000 1000 4.14e-15 4,05
970000 1000 4.05e-15 4,03
975000 1000 3.96e-15 4,01
980000 1000 3.87e-15 4
985000 1000 3.79e-15 3,98
990000 1000 3.71e-15 3,97
995000 1000 3.64e-15 3,95
1000000 1000 3.56e-15 3,94
1005000 1000 3.50e-15 3,93
1010000 1000 3.45e-15 3,92
1015000 1000 3.39e-15 3,91
1020000 1000 3.34e-15 3,9
1025000 1000 3.29e-15 3,89
1030000 1000 3.23e-15 3,88
1035000 1000 3.18e-15 3,87
1040000 1000 3.13e-15 3,87
1045000 1000 3.08e-15 3,86
1050000 1000 3.04e-15 3,85
1055000 1000 2.99e-15 3,84
1060000 1000 2.94e-15 3,84
1065000 1000 2.90e-15 3,83
1070000 1000 2.85e-15 3,82
1075000 1000 2.81e-15 3,81
1080000 1000 2.77e-15 3,81
1085000 1000 2.72e-15 3,8
1090000 1000 2.68e-15 3,79
1095000 1000 2.64e-15 3,78
1100000 1000 2.60e-15 3,77
1105000 1000 2.56e-15 3,77
1110000 1000 2.52e-15 3,77
1115000 1000 2.49e-15 3,76
1120000 1000 2.45e-15 3,76
1125000 1000 2.41e-15 3,75
1130000 1000 2.38e-15 3,74
1135000 1000 2.34e-15 3,74
1140000 1000 2.31e-15 3,73
1145000 1000 2.28e-15 3,73
1150000 1000 2.24e-15 3,72
1155000 1000 2.21e-15 3,71
1160000 1000 2.18e-15 3,71
1165000 1000 2.15e-15 3,7
1170000 1000 2.12e-15 3,7
1175000 1000 2.09e-15 3,69
1180000 1000 2.06e-15 3,69
1185000 1000 2.03e-15 3,68
1190000 1000 2.01e-15 3,68
1195000 1000 1.98e-15 3,67
1200000 1000 1.96e-15 3,67
